Title,W&R_ID,Filename,Author,Company of First Production,Place_of_first_production,Date,earliest,latest,span,Date_of_publication,Genre,Metadata_source,Play-type,STC_or_WING,Version,DEEP_ID,STC-Wing,verse,prose,Primary_alternative
Winter's Tale,1631,WintersTale_SilentReg_1623,Shakespeare William,King's Men,,1609,,,1,1623,Tragicomedy,W&R,Adult Professional,22273,F1,5081.14,22273,"2,153",825,primary
King and No King,1636,KingandNoKing_1619,Beaumont and Fletcher,King's Men,,1611,,,1,1619,Tragicomedy,W&R,Adult Professional,1670,,670,1670,"1,966","1,085",primary
If It Be Not Good the Devil Is in It,1641,IfItBeNotGood_1612,Dekker Thomas,Queen Anne's Men,,1611,1611,1612,2,1612,Comedy,W&R,Adult Professional,6507,,582,6507,"1,916",710,primary
Christian Turned Turk,1642,ChristianTurnedTurk_1612,Daborne Robert,unknown,,1610,1610,1612,3,1612,Tragedy,W&R,Boys Professional,6184,,576,6184,"1,196","1,070",primary
No Wit No Help Like a Woman's,1644,NoWit_SilentReg_1657,Middleton Thomas,Lady Elizabeth's Men,,1611,,,1,1657,Comedy,W&R,Adult Professional,M1985,,1147,M1985,"2,174",948,primary
Catiline His Conspiracy,1646,CatilineHisConspiracy_SilentReg_1611,Jonson Ben,King's Men,,1611,,,1,1611,Tragedy,W&R,Adult Professional,14759,,570,14759,"3,426",0,primary
Greene's Tu Quoque,1649,GreenesTuQuoque_1614,Cooke John,Queen Anne's Men,,1611,,,1,1614,Comedy,W&R,Adult Professional,5673,,611,5673,676,"2,193",primary
Maid's Tragedy,1650,MaidsTragedy_SilentReg_1619,Beaumont and Fletcher,King's Men,,1610,1610,1611,2,1619,Tragedy,W&R,Adult Professional,1677,,660,1677,"2,457",172,primary
Tempest,1652,Tempest_SilentReg_1623,Shakespeare William,King's Men,,1611,1610,1611,2,1623,Comedy,W&R,Adult Professional,22273,F1,5081.01,22273,"1,553",498,primary
Second Maiden's Tragedy,1655,SecondMaidensTragedy_SilentReg_1909,Middleton Thomas,King's Men,,1611,,,1,1909,Tragedy,W&R,Adult Professional,Malone Soc,,NA,Malone Soc,"2,120",28,primary
Captain,1665,Captain_1647,Fletcher John,King's Men,,1612,1609,1612,4,1647,Comedy,W&R,Adult Professional,B1581,,5143.06,B1581,"2,562",280,primary
Henry the Eighth,1674,HenryVIII_1623,Shakespeare and Fletcher,King's Men,,1613,1611,1613,3,1623,History,W&R,Adult Professional,22273,F1,5081.24,22273,"2,724",92,primary
White Devil,1689,WhiteDevil_SilentReg_1612,Webster John,Queen Anne's Men,,1612,1611,1612,2,1612,Tragedy,W&R,Adult Professional,25178,,583,25178,"2,413",549,primary
Hector of Germany,1707,HectorofGermany_1615,Smith Wentworth,NA,,1614,1613,1615,3,1615,Pseudo-History,W&R,Nonprofessional (?),22871,,623,22871,"1,756",197,primary
Chaste Maid in Cheapside,1715,ChasteMaid_SilentReg_1630,Middleton Thomas,Lady Elizabeth's Men,,1613,,,1,1630,Comedy,W&R,Adult Professional,17877,,753,17877,"1,883",54,primary
Honest Man's Fortune,1719,HonestMansFortune_1647,Field Massinger Fletcher,Lady Elizabeth's Men,,1613,,,1,1647,Tragicomedy,W&R,Adult Professional,B1581,,5143.26,B1581,"1,950",841,primary
Two Noble Kinsmen,1724,TwoNobleKinsmen_1634,Shakespeare and Fletcher,King's Men,,1613,,,1,1634,Tragicomedy,W&R,Adult Professional,11075,Q1,835,11075,"2,500",310,primary
Duchess of Malfi,1726,DuchessOfMalfi_SilentReg_1623,Webster John,King's Men,,1614,1612,1614,3,1623,Tragedy,W&R,Adult Professional,25176,,714,25176,"2,442",417,primary
Valentinian,1739,Valentinian_SilentReg_1647,Fletcher John,King's Men,,1614,1610,1614,5,1647,Tragedy,W&R,Adult Professional,B1581,,5143.31,B1581,"2,860",10,primary
Bonduca,1751,Bonduca_1647,Fletcher John,King's Men,,1613,1613,1614,2,1647,Tragedy,W&R,Adult Professional,B1581,,5143.19,B1581,"2,314",22,primary
Bartholomew Fair,1757,BartholomewFair_SilentReg_1631,Jonson Ben,Lady Elizabeth's Men,,1614,,,1,1631,Comedy,W&R,Adult Professional,14753.5,,5097.01,14753.5,190,"3,667",primary
Wit without Money,1758,WitWithoutMoney_1639,Fletcher John,Queen Henrietta Maria's Men,,1614,1614,1615,2,1639,Comedy,W&R,Adult Professional,1691,,932,1691,"2,125",3,primary
Widow,1787,Widow_1652,Middleton Thomas,King's Men,,1615,1615,1617,3,1652,Comedy,W&R,Adult Professional,J1015,,1059,J1015,"1,819",339,primary
Monsieur Thomas,1788,MonsieurThomas_1639,Fletcher John,Lady Elizabeth's Men,,1615,1613,1619,7,1639,Comedy,W&R,Adult Professional,11071,,922,11071,"2,340",0,primary
Witch,1805,Witch_1948,Middleton Thomas,King's Men,,1616,1608,1616,9,1948,Tragicomedy,W&R,Adult Professional,Malone Soc,,NA,Malone Soc,"1,728",147,primary
Mad Lover,1809,MadLover_1647,Fletcher John,King's Men,,1617,,,1,1647,Tragicomedy,W&R,Adult Professional,B1581,,5143.01,B1581,"2,019",11,primary
Devil Is an Ass,1810,DevilAnAss_SilentReg_1640,Jonson Ben,King's Men,,1616,,,1,1641,Comedy,W&R,Adult Professional,J1011,,5125.01,J1011,"3,040",0,primary
Chances,1819,Chances_1647,Fletcher John,King's Men,,1617,1616,1625,10,1647,Comedy,W&R,Adult Professional,B1581,,5143.1,B1581,"1,857",0,primary
Bloody Brother,1841,BloodyBrother_SilentReg_1639,Uncertain,King's Men,,1617,1617,1620,4,1639,Tragedy,W&R,Adult Professional,11064,,935,11064,"2,282",0,primary
Loyal Subject,1874,LoyalSubject_1647,Fletcher John,King's Men,,1618,,,1,1647,Tragicomedy,W&R,Adult Professional,B1581,,5143.11,B1581,"2,777",14,primary
Devil's Law Case,1875,DevilsLawCase_1623,Webster John,Queen Anne's Men,,1619,1617,1619,3,1623,Tragicomedy,W&R,Adult Professional,25173,,713,25173,"2,079",859,primary
All's Lost by Lust,1895,AllsLostbyLust_SilentReg_1633,Rowley William,Lady Elizabeth's Men;Queen Henrietta Maria's Men,,1619,1619,1620,2,1633,Tragedy,W&R,Adult Professional,21425,,807,21425,"1,147",947,primary
Humorous Lieutenant,1898,HumorousLieutenant_1647,Fletcher John,King's Men,,1619,1619,1623,5,1647,Tragicomedy,W&R,Adult Professional,B1581,,5143.15,B1581,"2,652",24,primary
Herod and Antipater,1901,HerodandAntipater_SilentReg_1622,Markham and Sampson,Red Bull (Revels) Company (first),,1622,1619,1620,2,1622,Tragedy,W&R,Adult Professional,17401,,703,17401,"2,537",237,primary
